score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup,near_dup_simhash,near_dup_minhash,minhash_jaccard,minhash_dup_of,gopher_quality,gopher_flags,hamdist
84.05,1.265,1.0,0.0783,1.0,0.3037,990,5202,Markdown,CODE_OF_CONDUCT.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",
69.28,13.888,1.0,0.0094,1.0,0.2851,123,549,Markdown,CONTRIBUTING.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",14
75.22,6.804,1.0,0.0,1.0,0.4497,205,963,Python,PyPDFForm/__init__.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
77.5,2.698,1.0,0.0883,1.0,0.4189,544,2427,Python,PyPDFForm/adapter.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
76.86,4.548,1.0,0.0148,1.0,0.4956,858,2917,Python,PyPDFForm/constants.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
76.89,2.562,1.0,0.2197,1.0,0.4698,827,3876,Python,PyPDFForm/coordinate.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
82.44,2.789,1.0,0.1262,1.0,0.4127,1468,7272,Python,PyPDFForm/filler.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
62.2,3.41,0.0,0.0743,1.0,0.3899,1332,6090,Python,PyPDFForm/font.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",12
59.95,2.635,0.0,0.1804,1.0,0.4439,1479,6273,Python,PyPDFForm/font.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
59.7,2.335,0.0,0.3193,1.0,0.4161,1603,7263,Python,PyPDFForm/hooks.py,1,3,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
