score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup
69.03,,1.0,0.0246,1.0,0.5183,185,585,YAML,.github/workflows/config-build.yml,1,1,olafhartong/sysmon-modular,False
70.26,,1.0,0.0087,1.0,0.5108,262,819,YAML,.github/workflows/matrix-build.yml,1,1,olafhartong/sysmon-modular,False
43.54,,0.0,0.4228,1.0,0.5006,643,2530,Text,0_custom_configuration/all_exclude_modules.txt,1,4,olafhartong/sysmon-modular,False
43.01,,0.0,0.4287,1.0,0.4519,636,2479,Text,0_custom_configuration/all_exclude_modules.txt,2,4,olafhartong/sysmon-modular,False
44.2,,0.0,0.3853,1.0,0.4911,641,2523,Text,0_custom_configuration/all_exclude_modules.txt,3,4,olafhartong/sysmon-modular,False
44.08,,0.0,0.0,1.0,0.5,10,39,Text,0_custom_configuration/all_exclude_modules.txt,4,4,olafhartong/sysmon-modular,False
43.39,,0.0,0.429,1.0,0.5006,641,2531,Text,0_custom_configuration/all_modules.txt,1,8,olafhartong/sysmon-modular,False
13.09,,0.0,0.4138,1.0,0.5,637,2503,Text,0_custom_configuration/all_modules.txt,2,8,olafhartong/sysmon-modular,True
43.36,,0.0,0.4162,1.0,0.4638,637,2491,Text,0_custom_configuration/all_modules.txt,3,8,olafhartong/sysmon-modular,False
42.29,,0.0,0.4534,1.0,0.4,645,2504,Text,0_custom_configuration/all_modules.txt,4,8,olafhartong/sysmon-modular,False
12.49,,0.0,0.482,1.0,0.4043,637,2487,Text,0_custom_configuration/all_modules.txt,5,8,olafhartong/sysmon-modular,True
13.43,,0.0,0.3619,1.0,0.4918,648,2536,Text,0_custom_configuration/all_modules.txt,6,8,olafhartong/sysmon-modular,True
12.38,,0.0,0.4957,1.0,0.3696,648,2562,Text,0_custom_configuration/all_modules.txt,7,8,olafhartong/sysmon-modular,True
40.98,,0.0,0.3422,1.0,0.5,309,1217,Text,0_custom_configuration/all_modules.txt,8,8,olafhartong/sysmon-modular,False
39.37,,0.0,0.2896,1.0,0.5114,90,351,Text,0_custom_configuration/file_delete_modules.txt,1,1,olafhartong/sysmon-modular,False
43.53,,0.0,0.4232,1.0,0.5006,643,2537,Text,0_custom_configuration/mde_covered_modules.txt,1,5,olafhartong/sysmon-modular,False
13.13,,0.0,0.4046,1.0,0.4827,642,2517,Text,0_custom_configuration/mde_covered_modules.txt,2,5,olafhartong/sysmon-modular,True
12.71,,0.0,0.4505,1.0,0.4,646,2509,Text,0_custom_configuration/mde_covered_modules.txt,3,5,olafhartong/sysmon-modular,True
12.64,,0.0,0.4591,1.0,0.4135,636,2475,Text,0_custom_configuration/mde_covered_modules.txt,4,5,olafhartong/sysmon-modular,True
11.96,,0.0,0.3874,1.0,0.48,303,1193,Text,0_custom_configuration/mde_covered_modules.txt,5,5,olafhartong/sysmon-modular,True
43.13,,0.0,0.3646,1.0,0.3262,290,902,Xml,10_process_access/exclude_adobe.xml,1,1,olafhartong/sysmon-modular,False
45.56,,0.0,0.2222,1.0,0.4438,145,457,Xml,10_process_access/exclude_autodesk_app.xml,1,1,olafhartong/sysmon-modular,False
46.24,,0.0,0.2079,1.0,0.3979,230,723,Xml,10_process_access/exclude_azure_monitor.xml,1,1,olafhartong/sysmon-modular,False
50.01,,0.0,0.0031,1.0,0.5008,108,337,Xml,10_process_access/exclude_carbon_black_response.xml,1,1,olafhartong/sysmon-modular,False
46.28,,0.0,0.2623,1.0,0.364,392,1232,Xml,10_process_access/exclude_chrome_sw_reporter.xml,1,1,olafhartong/sysmon-modular,False
50.13,,0.0,0.0179,1.0,0.4002,238,744,Xml,10_process_access/exclude_chrome_sw_reporter_all.xml,1,1,olafhartong/sysmon-modular,False
49.99,,0.0,0.0033,1.0,0.5035,104,322,Xml,10_process_access/exclude_cisco_amp.xml,1,1,olafhartong/sysmon-modular,False
47.46,,0.0,0.1284,1.0,0.4446,148,460,Xml,10_process_access/exclude_citrix.xml,1,1,olafhartong/sysmon-modular,False
14.97,,0.0,0.0033,1.0,0.4927,103,321,Xml,10_process_access/exclude_couchbase_sigar.xml,1,1,olafhartong/sysmon-modular,True
47.43,,0.0,0.1343,1.0,0.4379,164,515,Xml,10_process_access/exclude_defender_for_endpoint copy.xml,1,1,olafhartong/sysmon-modular,False
50.01,,0.0,0.0032,1.0,0.5015,107,333,Xml,10_process_access/exclude_elastic.xml,1,1,olafhartong/sysmon-modular,False
15.01,,0.0,0.003,1.0,0.4987,112,350,Xml,10_process_access/exclude_fireeye_agent.xml,1,1,olafhartong/sysmon-modular,True
42.08,,0.0,0.3994,1.0,0.3769,206,642,Xml,10_process_access/exclude_ivanti.xml,1,1,olafhartong/sysmon-modular,False
44.8,,0.0,0.3968,1.0,0.2991,589,1833,Xml,10_process_access/exclude_lsass_noise.xml,1,1,olafhartong/sysmon-modular,False
46.7,,0.0,0.1773,1.0,0.4486,171,535,Xml,10_process_access/exclude_mcafee_endpoint.xml,1,1,olafhartong/sysmon-modular,False
14.99,,0.0,0.0031,1.0,0.4912,110,342,Xml,10_process_access/exclude_microsoft_onedrive.xml,1,1,olafhartong/sysmon-modular,True
14.98,,0.0,0.0032,1.0,0.4917,105,328,Xml,10_process_access/exclude_microsoft_outlook.xml,1,1,olafhartong/sysmon-modular,True
14.88,,0.0,0.0233,1.0,0.4875,116,360,Xml,10_process_access/exclude_microsoft_powertoys.xml,1,1,olafhartong/sysmon-modular,True
46.99,,0.0,0.1628,1.0,0.4631,159,495,Xml,10_process_access/exclude_microsoft_teams.xml,1,1,olafhartong/sysmon-modular,False
45.82,,0.0,0.207,1.0,0.4072,169,528,Xml,10_process_access/exclude_microsoft_windows_defender.xml,1,1,olafhartong/sysmon-modular,False
49.94,,0.0,0.0033,1.0,0.4955,104,323,Xml,10_process_access/exclude_mobaxterm.xml,1,1,olafhartong/sysmon-modular,False
50.01,,0.0,0.0031,1.0,0.4985,110,342,Xml,10_process_access/exclude_palo_alto_cortex_xdr.xml,1,1,olafhartong/sysmon-modular,False
49.88,,0.0,0.0035,1.0,0.4954,98,304,Xml,10_process_access/exclude_qualys.xml,1,1,olafhartong/sysmon-modular,False
14.99,,0.0,0.0032,1.0,0.4946,106,329,Xml,10_process_access/exclude_razr_sdk.xml,1,1,olafhartong/sysmon-modular,True
14.96,,0.0,0.0036,1.0,0.497,95,295,Xml,10_process_access/exclude_sccm.xml,1,1,olafhartong/sysmon-modular,True
14.96,,0.0,0.0036,1.0,0.4977,94,291,Xml,10_process_access/exclude_splunk.xml,1,1,olafhartong/sysmon-modular,True
41.63,,0.0,0.5188,1.0,0.3471,463,1450,Xml,10_process_access/exclude_visual_studio_code.xml,1,1,olafhartong/sysmon-modular,False
14.98,,0.0,0.0034,1.0,0.4988,101,313,Xml,10_process_access/exclude_vmware_player.xml,1,1,olafhartong/sysmon-modular,True
14.98,,0.0,0.0033,1.0,0.4979,103,318,Xml,10_process_access/exclude_vmware_workstation.xml,1,1,olafhartong/sysmon-modular,True
14.97,,0.0,0.0034,1.0,0.4948,99,308,Xml,10_process_access/exclude_winzip.xml,1,1,olafhartong/sysmon-modular,True
45.47,,0.0,0.2281,1.0,0.4489,145,450,Xml,10_process_access/include_debugging.xml,1,1,olafhartong/sysmon-modular,False
14.98,,0.0,0.0035,1.0,0.5044,96,300,Xml,10_process_access/include_desktop.xml,1,1,olafhartong/sysmon-modular,True
41.09,,0.0,0.6645,1.0,0.4688,651,2034,Xml,10_process_access/include_dumphashes.xml,1,1,olafhartong/sysmon-modular,False
50.16,,0.0,0.0026,1.0,0.4975,128,396,Xml,10_process_access/include_hook_check.xml,1,1,olafhartong/sysmon-modular,False
13.0,,0.0,0.5874,1.0,0.4176,777,2413,Xml,10_process_access/include_lsass_access.xml,1,1,olafhartong/sysmon-modular,True
49.77,,0.0,0.0134,1.0,0.3856,196,612,Xml,10_process_access/include_office_process_injection.xml,1,1,olafhartong/sysmon-modular,False
48.38,,0.0,0.1237,1.0,0.4665,229,703,Xml,10_process_access/include_possible_dll_injection.xml,1,1,olafhartong/sysmon-modular,False
50.35,,0.0,0.0022,1.0,0.4941,152,473,Xml,10_process_access/include_process_discovery.xml,1,1,olafhartong/sysmon-modular,False
41.02,,0.0,0.5342,1.0,0.3301,440,1375,Xml,10_process_access/include_process_suspend_resume.xml,1,1,olafhartong/sysmon-modular,False
39.15,,0.0,0.7184,1.0,0.1506,802,2495,Xml,10_process_access/include_suspicious_locations.xml,1,2,olafhartong/sysmon-modular,False
48.34,,0.0,0.0528,1.0,0.4057,103,319,Xml,10_process_access/include_suspicious_locations.xml,2,2,olafhartong/sysmon-modular,False
50.21,,0.0,0.004,1.0,0.4625,165,513,Xml,10_process_access/include_suspicious_powershell.xml,1,1,olafhartong/sysmon-modular,False
44.31,,0.0,0.3188,1.0,0.3968,265,819,Xml,10_process_access/include_syscalls.xml,1,1,olafhartong/sysmon-modular,False
50.02,,0.0,0.0035,1.0,0.5171,97,298,Xml,11_file_create/exclude_dell_process.xml,1,1,olafhartong/sysmon-modular,False
46.12,,0.0,0.2378,1.0,0.376,305,962,Xml,11_file_create/exclude_elastic_logs.xml,1,1,olafhartong/sysmon-modular,False
50.16,,0.0,0.0029,1.0,0.513,116,357,Xml,11_file_create/exclude_intel_gfx_service.xml,1,1,olafhartong/sysmon-modular,False
47.14,,0.0,0.1387,1.0,0.4528,128,398,Xml,11_file_create/exclude_ivanti_res.xml,1,1,olafhartong/sysmon-modular,False
50.05,,0.0,0.011,1.0,0.5118,123,380,Xml,11_file_create/exclude_microsoft_click2run.xml,1,1,olafhartong/sysmon-modular,False
49.89,,0.0,0.0035,1.0,0.4972,97,303,Xml,11_file_create/exclude_microsoft_prefetch.xml,1,1,olafhartong/sysmon-modular,False
45.52,,0.0,0.2724,1.0,0.3406,344,1066,Xml,11_file_create/exclude_microsoft_services.xml,1,1,olafhartong/sysmon-modular,False
50.06,,0.0,0.0029,1.0,0.4965,117,365,Xml,11_file_create/exclude_microsoft_windows_recent_files.xml,1,1,olafhartong/sysmon-modular,False
49.16,,0.0,0.0627,1.0,0.4681,175,542,Xml,11_file_create/exclude_microsoft_windows_update.xml,1,1,olafhartong/sysmon-modular,False
49.86,,0.0,0.0037,1.0,0.4981,93,289,Xml,11_file_create/exclude_msdatp.xml,1,1,olafhartong/sysmon-modular,False
50.13,,0.0,0.022,1.0,0.4694,193,607,Xml,11_file_create/exclude_outlook_profile.xml,1,1,olafhartong/sysmon-modular,False
15.01,,0.0,0.0115,1.0,0.5146,118,364,Xml,11_file_create/exclude_provtool.xml,1,1,olafhartong/sysmon-modular,True
13.67,,0.0,0.2643,1.0,0.4282,261,818,Xml,11_file_create/exclude_psscriptpolicytest.xml,1,1,olafhartong/sysmon-modular,True
50.05,,0.0,0.0031,1.0,0.5059,109,340,Xml,11_file_create/exclude_sccm.xml,1,1,olafhartong/sysmon-modular,False
42.22,,0.0,0.4501,1.0,0.3905,334,1038,Xml,11_file_create/exclude_scheduled_task_noise.xml,1,1,olafhartong/sysmon-modular,False
43.75,,0.0,0.3389,1.0,0.4338,217,671,Xml,11_file_create/exclude_windows_heartbeat.xml,1,1,olafhartong/sysmon-modular,False
50.01,,0.0,0.003,1.0,0.4943,113,351,Xml,11_file_create/include_appc_shim.xml,1,1,olafhartong/sysmon-modular,False
47.38,,0.0,0.1332,1.0,0.4594,138,429,Xml,11_file_create/include_batch_files.xml,1,1,olafhartong/sysmon-modular,False
50.13,,0.0,0.0027,1.0,0.4976,124,386,Xml,11_file_create/include_chm_files.xml,1,1,olafhartong/sysmon-modular,False
42.03,,0.0,0.3991,1.0,0.3551,217,675,Xml,11_file_create/include_cloud_credendials.xml,1,1,olafhartong/sysmon-modular,False
49.85,,0.0,0.0038,1.0,0.502,90,278,Xml,11_file_create/include_credendials.xml,1,1,olafhartong/sysmon-modular,False
50.65,,0.0,0.0014,1.0,0.4306,237,719,Xml,11_file_create/include_cve_2021_40444.xml,1,1,olafhartong/sysmon-modular,False
50.02,,0.0,0.0031,1.0,0.5016,109,341,Xml,11_file_create/include_default_profile_changes.xml,1,1,olafhartong/sysmon-modular,False
49.93,,0.0,0.0035,1.0,0.5044,96,300,Xml,11_file_create/include_desktop.xml,1,1,olafhartong/sysmon-modular,False
39.4,,0.0,0.6224,1.0,0.2858,493,1536,Xml,11_file_create/include_dotnet.xml,1,1,olafhartong/sysmon-modular,False
50.1,,0.0,0.0029,1.0,0.5018,117,366,Xml,11_file_create/include_downloaded_files.xml,1,1,olafhartong/sysmon-modular,False
45.35,,0.0,0.2365,1.0,0.4587,143,443,Xml,11_file_create/include_drivers_added.xml,1,1,olafhartong/sysmon-modular,False
39.85,,0.0,0.6494,1.0,0.4023,519,1616,Xml,11_file_create/include_electron_app_injection.xml,1,1,olafhartong/sysmon-modular,False
49.91,,0.0,0.0037,1.0,0.5072,92,287,Xml,11_file_create/include_executables.xml,1,1,olafhartong/sysmon-modular,False
44.35,,0.0,0.3166,1.0,0.468,207,632,Xml,11_file_create/include_group_policy_changes.xml,1,1,olafhartong/sysmon-modular,False
15.01,,0.0,0.0031,1.0,0.5036,109,338,Xml,11_file_create/include_hta_scripts.xml,1,1,olafhartong/sysmon-modular,True
44.99,,0.0,0.2565,1.0,0.4521,153,480,Xml,11_file_create/include_iso.xml,1,1,olafhartong/sysmon-modular,False
45.04,,0.0,0.2583,1.0,0.4565,160,496,Xml,11_file_create/include_javascript.xml,1,1,olafhartong/sysmon-modular,False
49.98,,0.0,0.0031,1.0,0.4982,107,335,Xml,11_file_create/include_kirbi.xml,1,1,olafhartong/sysmon-modular,False
45.22,,0.0,0.2409,1.0,0.4482,146,456,Xml,11_file_create/include_links.xml,1,1,olafhartong/sysmon-modular,False
47.68,,0.0,0.1308,1.0,0.4704,159,490,Xml,11_file_create/include_microsoft_clickonce.xml,1,1,olafhartong/sysmon-modular,False
44.05,,0.0,0.3348,1.0,0.454,226,694,Xml,11_file_create/include_microsoft_msbuild_scripts.xml,1,1,olafhartong/sysmon-modular,False
50.16,,0.0,0.0077,1.0,0.5086,131,405,Xml,11_file_create/include_microsoft_settingcontent-ms.xml,1,1,olafhartong/sysmon-modular,False
40.26,,0.0,0.5694,1.0,0.2748,478,1486,Xml,11_file_create/include_ms_office_documents_with_macros.xml,1,1,olafhartong/sysmon-modular,False
47.92,,0.0,0.1166,1.0,0.4281,188,582,Xml,11_file_create/include_ms_office_excel_iqy_slk.xml,1,1,olafhartong/sysmon-modular,False
50.1,,0.0,0.003,1.0,0.5073,113,350,Xml,11_file_create/include_outlook_attachments.xml,1,1,olafhartong/sysmon-modular,False
47.61,,0.0,0.1579,1.0,0.4649,220,681,Xml,11_file_create/include_outlook_persistence.xml,1,1,olafhartong/sysmon-modular,False
13.05,,0.0,0.3997,1.0,0.5278,259,804,Xml,11_file_create/include_overlooked_extensions.xml,1,1,olafhartong/sysmon-modular,True
43.96,,0.0,0.3439,1.0,0.4514,239,740,Xml,11_file_create/include_powershell_changes.xml,1,1,olafhartong/sysmon-modular,False
13.94,,0.0,0.2004,1.0,0.4661,183,560,Xml,11_file_create/include_powershell_scripts.xml,1,1,olafhartong/sysmon-modular,True
13.83,,0.0,0.2053,1.0,0.423,186,581,Xml,11_file_create/include_python_scripts.xml,1,1,olafhartong/sysmon-modular,True
15.05,,0.0,0.0041,1.0,0.5573,84,262,Xml,11_file_create/include_remote_desktop_files.xml,1,1,olafhartong/sysmon-modular,True
14.69,,0.0,0.0544,1.0,0.4978,110,347,Xml,11_file_create/include_rundll32.xml,1,1,olafhartong/sysmon-modular,True
45.51,,0.0,0.2354,1.0,0.4693,151,462,Xml,11_file_create/include_scheduled_task_changes.xml,1,1,olafhartong/sysmon-modular,False
50.02,,0.0,0.0031,1.0,0.5,110,342,Xml,11_file_create/include_start_menu_items.xml,1,1,olafhartong/sysmon-modular,False
50.03,,0.0,0.003,1.0,0.4992,111,347,Xml,11_file_create/include_startup_items.xml,1,1,olafhartong/sysmon-modular,False
41.96,,0.0,0.4202,1.0,0.4055,219,680,Xml,11_file_create/include_system_drive.xml,1,1,olafhartong/sysmon-modular,False
14.98,,0.0,0.0036,1.0,0.5053,95,296,Xml,11_file_create/include_system_driver_files.xml,1,1,olafhartong/sysmon-modular,True
49.04,,0.0,0.0739,1.0,0.4837,175,544,Xml,11_file_create/include_taskmanager_lsass.xml,1,1,olafhartong/sysmon-modular,False
15.05,,0.0,0.004,1.0,0.557,85,263,Xml,11_file_create/include_url.xml,1,1,olafhartong/sysmon-modular,True
12.94,,0.0,0.3412,1.0,0.4259,155,482,Xml,11_file_create/include_visual_basic_scripts.xml,1,1,olafhartong/sysmon-modular,True
12.79,,0.0,0.4178,1.0,0.3563,335,1038,Xml,11_file_create/include_wdac.xml,1,1,olafhartong/sysmon-modular,True
44.1,,0.0,0.3615,1.0,0.4152,327,1009,Xml,11_file_create/include_wmi_changes.xml,1,1,olafhartong/sysmon-modular,False
12.07,,0.0,0.5377,1.0,0.3256,358,1117,Xml,11_file_create/include_writable_folders.xml,1,1,olafhartong/sysmon-modular,True
13.92,,0.0,0.198,1.0,0.4715,165,511,Xml,12_13_14_registry_event/exclude_cisco_anyconnect.xml,1,1,olafhartong/sysmon-modular,True
47.8,,0.0,0.1152,1.0,0.4795,129,398,Xml,12_13_14_registry_event/exclude_cylance.xml,1,1,olafhartong/sysmon-modular,False
44.85,,0.0,0.3153,1.0,0.4496,279,885,Xml,12_13_14_registry_event/exclude_hklm_ccs_tcpip.xml,1,1,olafhartong/sysmon-modular,False
42.98,,0.0,0.3865,1.0,0.3803,281,875,Xml,12_13_14_registry_event/exclude_internet_explorer_settings.xml,1,1,olafhartong/sysmon-modular,False
14.25,,0.0,0.1204,1.0,0.4503,128,398,Xml,12_13_14_registry_event/exclude_ivanti.xml,1,1,olafhartong/sysmon-modular,True
45.54,,0.0,0.2235,1.0,0.4436,146,459,Xml,12_13_14_registry_event/exclude_kaspersky_lab_internet_security.xml,1,1,olafhartong/sysmon-modular,False
43.85,,0.0,0.4459,1.0,0.3703,536,1660,Xml,12_13_14_registry_event/exclude_mcafee_endpoint.xml,1,1,olafhartong/sysmon-modular,False
44.94,,0.0,0.2496,1.0,0.3616,202,633,Xml,12_13_14_registry_event/exclude_microsoft_defender_for_endpoint.xml,1,1,olafhartong/sysmon-modular,False
50.09,,0.0,0.0044,1.0,0.4619,152,475,Xml,12_13_14_registry_event/exclude_microsoft_monitoring_agent.xml,1,1,olafhartong/sysmon-modular,False
48.54,,0.0,0.0939,1.0,0.3626,260,825,Xml,12_13_14_registry_event/exclude_noise.xml,1,1,olafhartong/sysmon-modular,False
45.5,,0.0,0.2304,1.0,0.4562,148,463,Xml,12_13_14_registry_event/exclude_owncloud.xml,1,1,olafhartong/sysmon-modular,False
50.24,,0.0,0.005,1.0,0.5088,134,416,Xml,12_13_14_registry_event/exclude_scheduled_task_cache.xml,1,1,olafhartong/sysmon-modular,False
14.96,,0.0,0.0144,1.0,0.5022,116,364,Xml,12_13_14_registry_event/exclude_sentinelone_endpoint.xml,1,1,olafhartong/sysmon-modular,True
